T,max,min
15100,0.000,0.000
15200,0.000,0.000
15300,0.000,0.000
15400,0.000,0.000
15500,0.000,0.000
15600,0.000,0.000
15700,0.000,0.000
15800,0.000,0.000
15900,0.000,0.000
16000,0.000,0.000
16100,0.000,0.000
16200,0.000,0.000
16300,0.000,0.000
16400,0.000,0.000
16500,0.000,0.000
16600,0.000,0.000
16700,0.000,0.000
16800,0.000,0.000
16900,0.000,0.000
17000,0.000,0.000
17100,0.000,0.000
17200,0.000,0.000
17300,0.000,0.000
17400,0.000,0.000
17500,0.000,0.000
17600,0.000,0.000
17700,0.000,0.000
17800,0.000,0.000
17900,0.000,0.000
18000,0.000,0.000
18100,0.000,0.000
18200,0.000,0.000
18300,0.000,0.000
18400,0.000,0.000
18500,0.000,0.000
18600,0.000,0.000
18700,0.000,0.000
18800,0.000,0.000
18900,0.000,0.000
19000,0.000,0.000
19100,0.000,0.000
19200,0.000,0.000
19300,0.000,0.000
19400,0.000,0.000
19500,0.000,0.000
19600,0.000,0.000
19700,0.000,0.000
19800,0.000,0.000
19900,0.000,0.000
20000,0.000,0.000
20100,0.000,0.000
20200,0.000,0.000
20300,0.000,0.000
20400,0.000,0.000
20500,0.000,0.000
20600,0.000,0.000
20700,0.000,0.000
20800,0.000,0.000
20900,0.000,0.000
21000,0.000,0.000
21100,0.000,0.000
21200,0.000,0.000
21300,0.000,0.000
21400,0.000,0.000
21500,0.000,0.000
21600,0.000,0.000
21700,0.000,0.000
21800,0.000,0.000
21900,0.000,0.000
22000,0.000,0.000
22100,0.000,0.000
22200,0.000,0.000
22300,0.000,0.000
22400,0.000,0.000
22500,0.000,0.000
22600,0.000,0.000
22700,0.000,0.000
22800,0.000,0.000
22900,0.000,0.000
23000,0.000,0.000
23100,0.000,0.000
23200,0.000,0.000
23300,0.000,0.000
23400,0.000,0.000
23500,0.000,0.000
23600,0.000,0.000
23700,0.000,0.000
23800,0.000,0.000
23900,0.000,0.000
24000,0.000,0.000
24100,0.000,0.000
24200,0.000,0.000
24300,0.000,0.000
24400,0.000,0.000
24500,0.000,0.000
24600,0.000,0.000
24700,0.000,0.000
24800,0.000,0.000
24900,0.000,0.000
25000,0.000,0.000
25100,0.000,0.000
25200,0.000,0.000
25300,0.000,0.000
25400,0.000,0.000
25500,0.000,0.000
25600,0.000,0.000
25700,0.000,0.000
25800,0.000,0.000
25900,0.000,0.000
26000,0.000,0.000
26100,0.000,0.000
26200,0.000,0.000
26300,0.000,0.000
26400,0.000,0.000
26500,0.000,0.000
26600,0.000,0.000
26700,0.000,0.000
26800,0.000,0.000
26900,0.000,0.000
27000,0.000,0.000
27100,0.000,0.000
27200,0.000,0.000
27300,0.000,0.000
27400,0.000,0.000
27500,0.000,0.000
27600,0.000,0.000
27700,0.000,0.000
27800,0.000,0.000
27900,0.000,0.000
28000,0.000,0.000
28100,0.000,0.000
28200,0.000,0.000
28300,0.000,0.000
28400,0.000,0.000
28500,0.000,0.000
28600,0.000,0.000
28700,0.000,0.000
28800,0.000,0.000
28900,0.000,0.000
29000,0.000,0.000
29100,0.000,0.000
29200,0.000,0.000
29300,0.000,0.000
29400,0.000,0.000
29500,0.000,0.000
29600,0.000,0.000
29700,0.000,0.000
29800,0.000,0.000
29900,0.000,0.000
30000,0.000,0.000
